LOCALITE,Code Postal,NOM,POPULATION,SUPERFICIE,LOCTYPE,PROVINCE
AISEAU-PRESLES ,6250,Commune d'Aiseau-Presles,10978,2300,Commune,Hainaut
AMAY ,4540,Commune d'Amay,14531,2760,Commune/Village,Liège
AMEL  ,4770,Commune d'Amel (Amblève),5612,12514,Commune/Village,Liège
ANDENNE ,5300,Ville d'Andenne,28187,8617,Ville/Village,Namur
ANDERLUES ,6150,Commune d'Anderlues,12809,1702,Commune/Village,Hainaut
ANHEE ,5537,Commune d'Anhée,7135,6788,Commune/Village,Namur
ANS ,4430,Ville de Ans,28989,2335,Commune/Village,Liège
ANTHISNES ,4160,Commune d'Anthisnes,4220,3707,Commune/Village,Liège
ANTOING ,7640,Ville d'Antoing,7623,3113,Ville/Village,Hainaut
ARLON ,6700,Ville d'Arlon,31310,11623,Ville/Village,Luxembourg
ASSESSE ,5330,Commune d'Assesse,7325,7815,Commune/Village,Namur
ATH ,7800,Ville d'Ath,30048,12694,Ville/Village,Hainaut
ATTERT ,6717,Commune d'Attert,5797,7093,Commune/Village,Luxembourg
ATHUS ,6791,Ville d'Aubange,17845,4559,Village,Luxembourg
AUBEL ,4880,Commune d'Aubel,4252,1883,Commune/Village,Liège
AWANS ,4340,Commune d'Awans,9344,2740,Commune/Village,Liège
AYWAILLE ,4920,Commune d'Aywaille,12880,8004,Commune/Village,Liège
BAELEN ,4837,Commune de Baelen,4487,8289,Commune/Village,Liège
BASSENGE ,4690,Commune de Bassenge,9028,3817,Commune/Village,Liège
BASTOGNE ,6600,Ville de Bastogne,20665,26369,Ville/Village,Luxembourg
BEAUMONT ,6500,Ville de Beaumont,7140,9297,Ville/Village,Hainaut
BEAURAING ,5570,Ville de Beauraing,9490,17454,Ville/Village,Namur
BEAUVECHAIN ,1320,Commune de Beauvechain,7233,3859,Commune/Village,Brabant wallon
QUEVAUCAMPS ,7972,Commune de Beloeil,14244,6154,Commune,Hainaut
BERLOZ ,4257,Commune de Berloz,3344,1449,Commune/Village,Liège
BERNISSART ,7320,Commune de Bernissart,11878,4342,Commune/Village,Hainaut
BERTRIX ,6880,Commune de Bertrix,9017,13770,Commune/Village,Luxembourg
BEYNE-HEUSAY ,4610,Commune de Beyne-Heusay,12018,732,Commune/Village,Liège
BIEVRE ,5555,Commune de Bièvre,3476,10958,Commune/Village,Namur
BINCHE ,7130,Ville de Binche,33651,6066,Ville/Village,Hainaut
BLEGNY ,4670,Commune de Blegny,13482,2607,Commune,Liège
BOUILLON ,6830,Ville de Bouillon,5377,14908,Ville,Luxembourg
BOUSSU ,7300,Commune de Boussu,20283,2001,Commune/Village,Hainaut
BRAINE-L'ALLEUD ,1420,Commune de Braine-l'Alleud,40461,5211,Commune/Village,Brabant wallon
BRAINE-LE-CHATEAU ,1440,Commune de Braine-le-Château,10646,2269,Commune/Village,Brabant wallon
BRAINE-LE-COMTE ,7090,Ville de Braine-le-Comte,23443,8468,Ville/Village,Hainaut
BRAIVES ,4260,Commune de Braives,6554,4399,Commune/Village,Liège
BRUGELETTE ,7940,Commune de Brugelette,3853,2840,Commune/Village,Hainaut
BLEHARIES,7620,Commune de Brunehaut,8099,4610,Commune,Hainaut
BÜLLINGEN ,4760,Commune de Büllingen,5544,15048,Commune/Village,Liège
BURDINNE ,4210,Commune de Burdinne,3295,3256,Commune/Village,Liège
BURG-REULAND ,4790,Commune de Burg-Reuland,3961,10895,Commune,Liège
BÜTGENBACH ,4750,Commune de Bütgenbach,5652,9731,Commune/Village,Liège
CELLES ,7760,Commune de Celles,5722,6713,Commune/Village,Hainaut
CERFONTAINE,5630,Commune de Cerfontaine,4991,8345,Commune/Village,Namur
CHAPELLE-LEZ-HERLAIMONT ,7160,Commune de Chapelle-lez-Herlaimont,14839,1809,Commune/Village,Hainaut
CHARLEROI ,6000,Ville de Charleroi,204322,10207,Ville/Village,Hainaut
CHASTRE ,1450,Commune de Chastre,7728,3127,Commune,Brabant wallon
CHATELET ,6200,Ville de Châtelet,35595,2703,Ville/Village,Hainaut
EMBOURG ,4053,Commune de Chaudfontaine,20600,2551,Commune,Liège
CHAUMONT-GISTOUX ,1325,Commune de Chaumont-Gistoux,11818,4808,Commune/Village,Brabant wallon
CHIEVRES,7950,Ville de Chièvres,7168,4691,Ville/Village,Hainaut
CHIMAY,6460,Ville de Chimay,9691,19710,Ville/Village,Hainaut
JAMOIGNE,6810,Ville de Chiny,5308,11369,Ville/Village,Luxembourg
CINEY,5590,Ville de Ciney,17183,14756,Ville/Village,Namur
CLAVIER,4560,Commune de Clavier,4946,7925,Commune/Village,Liège
COLFONTAINE,7340,Commune de Colfontaine,20745,1361,Commune,Hainaut
COMBLAIN-AU-PONT,4170,Commune de Comblain-au-Pont,5319,2267,Commune/Village,Liège
COMINES-WARNETON ,7780,Ville de Comines-Warneton,18391,6109,Ville,Hainaut
COURCELLES,6180,Commune de Courcelles,31337,4423,Commune/Village,Hainaut
COURT-SAINT-ETIENNE,1490,Commune de Court-Saint-Etienne,10854,2664,Commune/Village,Brabant wallon
COUVIN,5660,Ville de Couvin,13907,20692,Ville/Village,Namur
CRISNEE,4367,Commune de Crisnée,3539,1683,Commune/Village,Liège
BERNEAU,4607,Commune de Dalhem,7712,3605,Commune/Village,Liège
HAUT-FAYS,6929,Commune de Daverdisse,1426,5640,Commune/Village,Luxembourg
DINANT,5500,Ville de Dinant,13328,9980,Ville/Village,Namur
DISON,4820,Commune de Dison,15260,1400,Commune/Village,Liège
DOISCHE,5680,Commune de Doische,2952,8401,Commune/Village,Namur
